lista_de_imóveis_da_caixa,unnamed:_1,data_de_geração:,24/01/2025,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10
 N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Descrição,Modalidade de venda,Link de acesso
 1444416707702 ,DF ,CEILANDIA ,CEILANDIA NORTE ,"QNN 11, N. SN, Apto 302, VIA 11/B LT 22 ","171.809,26","134.000,00",0.00,"Apartamento, 0.00 de área total, 39.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416707702
 10182242 ,DF ,GAMA ,SETOR SUL ,"QUADRA 1, N. S/N, LT 18, LJ 02, QD 01 ","606.181,46","990.000,00",38.77,"Loja, 0.00 de área total, 308.10 de área privativa, 312.50 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10182242
 1444400715735 ,DF ,GUARA ,GUARA II ,"QE 30, N. 29, QE 30 ","1.147.000,00","1.147.000,00",0.00,"Casa, 0.00 de área total, 45.25 de área privativa, 202.24 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400715735
 8555533324400 ,DF ,PLANALTINA ,SETOR OESTE ,"SETOR DE MANSOES OESTE, N. 12, Apto 101, BL E ","135.000,00","135.000,00",0.00,"Apartamento, 0.00 de área total, 45.95 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555533324400
 8787707368956 ,DF ,SAMAMBAIA ,SAMAMBAIA ,"QUADRA QS 425, N. SN, Apto 207, LT 1 CJ D ","78.201,87","135.000,00",42.08,"Apartamento, 0.00 de área total, 32.55 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707368956
 8787700188642 ,DF ,SAMAMBAIA ,SAMAMBAIA SUL (SAMAM ,"QUADRA QS 303, N. SN, Apto 802, LOTES 12 A 16, CJ 09 ","83.428,48","142.500,00",41.46,"Apartamento, 0.00 de área total, 31.05 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700188642
 8787702837729 ,DF ,SAMAMBAIA ,SAMAMBAIA SUL ,"QUADRA QN 509, N. SN, Apto 19, LT 2 AO 12 CJ 3 ","81.964,82","140.000,00",41.46,"Apartamento, 0.00 de área total, 37.66 de área privativa, 0.00 de área do terreno.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702837729
 8444408755173 ,DF ,SAMAMBAIA ,SAMAMBAIA SUL ,"QUADRA  QN 501, N. SN, Apto 303, LT 01 CJ 14 QD QN 501 ","116.651,81","193.000,00",39.56,"Apartamento, 0.00 de área total, 40.01 de área privativa, 0.00 de área do terreno.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408755173
 8555534815181 ,DF ,SAMAMBAIA ,SAMAMBAIA NORTE ,"QS 408, N. 408, Apto 204, LT 02 CJ D ","193.659,10","210.000,00",7.79,"Apartamento, 0.00 de área total, 48.50 de área privativa, 0.01 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534815181
 8555523180082 ,DF ,SAMAMBAIA ,SAMAMBAIA SUL ,"QD QS 320, N. SN, Apto 703, LT 02 CJ 01 ","152.000,00","152.000,00",0.00,"Apartamento, 0.00 de área total, 30.38 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555523180082
 1555532603014 ,DF ,SAMAMBAIA ,SAMAMBAIA SUL ,"QUADRA QS 106, N. SN, Apto 804, LT 07 E 08 VG 23 ","720.889,14","275.000,00",0.00,"Apartamento, 0.00 de área total, 72.96 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555532603014
 1444407401639 ,DF ,TAGUATINGA ,TAGUATINGA NORTE ,"QUADRA CNB 6, N. SN, Apto 101, LT 14 ","310.489,74","565.000,00",45.05,"Apartamento, 0.00 de área total, 100.19 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407401639
 1555512544381 ,DF ,TAGUATINGA ,TAGUATINGA NORTE ,"QUADRA QNL17, N. SN, LT 03  CJ B ","375.000,00","375.000,00",0.00,"Casa, 0.00 de área total, 175.00 de área privativa, 200.00 de área do terreno.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555512544381
 1444417076633 ,DF ,TAGUATINGA ,NORTE (AGUAS CLARAS) ,"RUA 28, N. 0, Apto 204, TORRE 2 VG 53 E 54 ","675.000,00","675.000,00",0.00,"Apartamento, 0.00 de área total, 96.79 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417076633
 1555521502262 ,DF ,TAGUATINGA ,SETOR INDUSTRIAL ," QD QI 24, N. SN, Apto 1212, TORRE B ","322.947,24","265.000,00",0.00,"Apartamento, 0.00 de área total, 48.26 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555521502262
